time,mood
2014-03-04,7.0
2014-03-05,7.166666666666667
2014-03-06,7.222222222222222
2014-03-07,7.444444444444445
2014-03-08,7.3
2014-03-09,7.2
2014-03-10,7.0
2014-03-11,6.4
2014-03-12,6.7
2014-03-13,7.083333333333333
2014-03-14,7.434782608695652
2014-03-15,6.461538461538462
2014-03-16,6.461538461538462
2014-03-17,6.379310344827586
2014-03-18,7.137931034482759
2014-03-19,7.0
2014-03-20,6.605263157894737
2014-03-21,6.885245901639344
2014-03-22,6.746478873239437
2014-03-23,6.987341772151899
2014-03-24,6.753246753246753
2014-03-25,6.831325301204819
2014-03-26,6.916666666666667
2014-03-27,6.8977272727272725
2014-03-28,7.090909090909091
2014-03-29,7.433333333333334
2014-03-30,6.988372093023256
2014-03-31,6.977777777777778
2014-04-01,6.978947368421053
2014-04-02,6.861386138613861
2014-04-03,7.036363636363636
2014-04-04,7.009803921568627
2014-04-05,7.356521739130435
2014-04-06,6.9
2014-04-07,6.831858407079646
2014-04-08,7.051282051282051
2014-04-09,7.118181818181818
2014-04-10,7.156521739130435
2014-04-11,7.0701754385964914
2014-04-12,7.3090909090909095
2014-04-13,7.087719298245614
2014-04-14,6.955357142857143
2014-04-15,6.873949579831932
2014-04-16,7.048780487804878
2014-04-17,6.7637795275590555
2014-04-18,6.775862068965517
2014-04-19,7.256410256410256
2014-04-20,7.221238938053097
2014-04-21,7.0476190476190474
2014-04-22,6.827868852459017
2014-04-23,6.843478260869565
2014-04-24,7.016666666666667
2014-04-25,7.02542372881356
2014-04-26,7.353535353535354
2014-04-27,7.041666666666667
2014-04-28,7.105263157894737
2014-04-29,6.954545454545454
2014-04-30,6.867256637168142
